region,population,area,living area,bad conditions,no funds,per capita,formal wage,gdpp,welfare,retail,poverty,the poor: children,the poor: pensioners,the poor: employable,disabled,birth rate
Алтайский край,2317153.0,167996,18.0,0.3,0.8642000000000001,23864.0,30072.0,291156.9,29.7,153605,17.5,31.4,9.2,59.4,57.302,862.0924039111788
Амурская область,790044.0,361908,17.3,1.3,1.0731000000000002,35499.0,52430.0,571362.1,21.7,245233,15.2,38.4,4.7,56.9,30.788,993.9952711494549
Архангельская область без Ненецкого АО,1092424.0,413103,16.9,1.4,1.2998,34852.0,52779.0,514200.4,21.4,250033,12.3,28.5,7.2,64.3,88.038,815.2512211375803
Астраханская область,1005782.0,49024,19.2,0.8,2.9027999999999996,25199.0,38885.0,526950.9,31.4,174527,15.6,42.1,5.5,52.4,49.989,1084.8275272375126
Белгородская область,1549151.0,27134,17.8,0.7,0.384,32841.0,37442.0,646569.0,16.1,237076,7.2,44.8,12.9,42.3,60.234,797.3399623406627
Брянская область,1192491.0,34857,24.1,0.1,0.0,28596.0,31946.0,347204.5,23.1,225643,13.6,44.8,3.7,51.6,29.048,794.9745532670687
Владимирская область,1358416.0,29084,16.1,0.2,0.15300000000000002,25922.0,35240.0,410443.6,26.0,177680,12.5,34.8,4.8,60.4,32.444,744.9853358617685
Волгоградская область,2491036.0,112877,17.9,1.0,0.3993,24864.0,35962.0,394256.5,25.1,167446,11.9,46.2,4.0,49.8,86.516,789.3502944156568
Вологодская область,1160445.0,144527,16.9,1.1,0.7072,29522.0,42775.0,544379.2,25.9,182920,12.8,43.1,2.3,54.6,48.522,921.8877241058387
Воронежская область,2324205.0,52216,19.9,0.9,0.5680000000000001,32078.0,36317.0,459629.5,21.6,252416,8.5,28.5,2.3,69.2,71.983,824.4109276075044
Еврейская автономная область,158305.0,36271,13.8,0.9,0.0,28048.0,46237.0,400340.5,31.2,168066,23.6,34.8,10.8,54.4,6.357,1013.8656391143678
Забайкальский край,1059700.0,431892,17.1,1.8,1.5903,27046.0,47172.0,402594.6,26.5,164741,20.9,33.4,7.2,59.3,44.519,1178.0692648862887
Ивановская область,997135.0,21437,18.1,1.5,0.5360000000000001,26277.0,29083.0,273821.5,25.1,180314,13.7,47.5,5.0,47.5,19.522,758.4730252172475
Иркутская область,2391193.0,774846,16.3,1.6,1.9608,27571.0,49885.0,631591.9,28.6,164879,17.6,41.5,7.0,51.5,106.047,1134.872843806418
Кабардино-Балкарская Республика,868350.0,12470,18.9,0.5,0.0,21957.0,29899.0,210674.1,34.4,154476,24.2,35.9,6.7,57.4,7.464,1221.1665802959637
Калининградская область,1012512.0,15125,15.6,1.9,0.0,29518.0,36647.0,530036.9,12.6,183286,13.5,29.1,6.1,64.8,246.714,917.1249328403021
Калужская область,1002575.0,29777,15.5,0.2,0.0,32442.0,43994.0,558174.6,16.9,214672,9.7,31.1,18.4,50.4,72.852,896.5912774605391
Камчатский край,313016.0,464275,15.9,3.0,4.466,55373.0,85623.0,942802.0,13.3,202352,14.6,42.6,5.9,51.5,4.669,1035.0908579753113
Карачаево-Черкесская Республика,465528.0,14277,18.3,2.6,1.9828999999999999,18949.0,29865.0,207471.5,26.5,83515,23.2,27.6,6.9,65.5,5.248,1099.3968139403
Кемеровская область,2657854.0,95725,16.3,1.0,0.5085000000000001,25433.0,43429.0,392374.9,23.0,153033,13.2,39.7,4.5,55.8,72.726,848.2407235310893
Кировская область,1262402.0,120374,14.9,2.5,0.9234000000000001,24192.0,32692.0,315153.9,27.6,163224,14.0,40.8,3.4,55.7,73.644,841.1742059977726
Костромская область,633385.0,60211,14.5,1.5,0.0,25780.0,32220.0,323951.6,22.5,179587,12.5,39.9,6.6,53.5,73.554,852.8777915485841
Краснодарский край,5675462.0,75485,18.1,1.2,0.7852,36838.0,38499.0,460720.2,25.7,261857,10.4,39.3,6.9,53.8,234.591,1043.7035786690142
Красноярский край,2866255.0,2366797,16.6,1.8,1.2567,32832.0,54426.0,951613.7,24.8,196888,17.0,35.8,4.8,59.4,165.088,1011.249871347804
Курганская область,827166.0,71488,16.7,3.2,0.1305,21860.0,33182.0,294464.0,26.1,147332,19.3,39.4,2.4,58.2,20.964,898.1268572450995
Курская область,1104008.0,29997,17.1,0.6,0.7636000000000001,29786.0,35805.0,487030.7,23.2,207134,9.9,34.2,6.5,59.2,57.093,825.2657589437757
Ленинградская область,1875872.0,83908,17.0,3.0,3.8308,33149.0,48286.0,661328.6,16.7,255646,8.7,19.0,17.0,64.1,64.931,707.2444175295543
Липецкая область,1139371.0,24047,16.5,0.2,0.6077,32226.0,36790.0,546151.3,22.3,236552,8.4,40.0,0.8,59.3,50.883,824.0511650726585
Магаданская область,140149.0,462464,13.8,0.2,0.0,70864.0,102843.0,2035007.0,11.1,245817,8.7,30.7,11.5,57.8,1.864,937.5735824015869
Москва,12678079.0,2561,13.8,0.5,4.096,77283.0,100070.0,1567644.8,17.5,408674,6.0,38.4,13.2,48.5,1480.172,974.3116445322671
Московская область,7690863.0,44329,14.8,1.0,0.9569999999999999,47046.0,58066.0,683845.1,19.4,347566,6.8,49.9,5.7,44.4,576.171,1028.584178394544
Мурманская область,741404.0,144902,17.7,2.4,1.8483,46355.0,69135.0,1072337.1,22.8,242844,10.1,43.7,0.4,55.8,95.112,874.1522840448662
Ненецкий автономный округ,44111.0,176810,20.9,5.9,0.0,84147.0,92237.0,5206287.1,14.4,226206,9.4,45.6,2.0,52.4,0.549,1346.602888168484
Нижегородская область,3202946.0,76624,17.5,0.5,0.16720000000000002,33645.0,37601.0,497418.6,22.2,237008,9.4,31.7,3.8,64.5,254.299,863.205311609999
Новгородская область,596508.0,54501,17.6,0.4,0.0,26268.0,34169.0,471333.3,25.3,204547,13.6,40.1,1.3,58.6,97.17,819.1004982330496
Новосибирская область,2798170.0,177756,16.3,1.8,1.3679999999999999,31563.0,41534.0,485981.4,25.4,197028,13.8,34.1,4.4,61.5,148.469,1031.5670598998631
Омская область,1926665.0,141140,16.9,0.8,0.27180000000000004,27354.0,37828.0,398641.0,29.0,185769,13.6,38.8,5.1,56.2,85.345,923.876231726844
Оренбургская область,1956835.0,123702,19.0,1.8,1.2730000000000001,24719.0,35075.0,538971.9,26.6,169416,14.0,42.8,3.3,53.9,44.698,959.7130059509361
Орловская область,733498.0,24652,18.8,1.4,0.0,26843.0,31862.0,390170.2,25.0,194977,12.9,41.5,8.0,50.5,25.531,781.8698892157852
Пензенская область,1305563.0,43352,16.9,0.2,0.0,24118.0,32766.0,379820.4,22.4,171267,13.0,32.7,12.8,54.5,92.193,740.1404604756722
Пермский край,2599260.0,160236,16.0,1.5,2.3102999999999994,30215.0,41958.0,541930.2,23.0,214162,13.3,41.5,3.7,54.8,107.053,982.1641544131791
Приморский край,1895868.0,164673,15.7,2.4,1.8796000000000004,37304.0,50105.0,582950.7,23.5,230378,13.0,49.6,4.2,46.2,197.735,952.597965681155
Псковская область,626115.0,55399,15.0,0.1,0.0,26436.0,31496.0,325659.6,24.7,200916,16.2,29.6,9.3,61.0,18.639,797.7767662490116
Республика Адыгея,463088.0,7792,19.6,3.5,0.0,30293.0,32161.0,309184.1,20.2,231447,12.5,44.6,5.4,50.1,2.38,954.0303354869916
Республика Алтай,220181.0,92903,14.4,4.8,0.46759999999999985,21677.0,36269.0,283451.4,19.8,135351,23.8,44.5,2.9,52.6,3.142,1342.0776542935132
Республика Башкортостан,4038151.0,142947,17.4,0.5,0.9912000000000001,30249.0,38738.0,425161.0,22.4,226691,11.6,40.1,4.5,55.4,160.186,1019.7736538331529
Республика Бурятия,985937.0,351334,17.2,3.2,2.112,26092.0,41800.0,307558.8,25.5,199747,19.9,41.7,3.7,54.6,34.046,1280.0006491286968
Республика Дагестан,3110858.0,50270,22.5,0.8,1.2,27661.0,31342.0,239640.7,28.3,188325,14.8,38.3,5.0,56.7,33.908,1494.957339743569
Республика Ингушетия,507061.0,3123,27.8,0.0,0.0,16877.0,29648.0,142199.7,32.5,50713,30.0,38.1,10.6,51.3,1.401,1669.0299589201297
Республика Калмыкия,271135.0,74731,20.2,0.0,0.0,19811.0,32013.0,344933.1,24.3,86002,22.7,33.8,0.3,65.9,1.795,1022.3689306065244
Республика Карелия,614064.0,180520,17.1,3.4,4.6805,32583.0,46501.0,522245.3,24.2,226569,15.1,39.0,3.0,58.1,10.357,846.6544203861487
Республика Коми,820473.0,416774,15.5,8.8,6.588600000000001,36677.0,57156.0,749219.3,22.7,201675,15.3,40.1,6.6,53.3,30.165,923.3698122912028
Республика Крым,1912622.0,26081,19.0,0.7,0.22999999999999998,22950.0,34181.0,270363.8,15.5,148071,17.2,48.2,1.7,50.1,12.511,986.4991618835296
Республика Марий Эл,679417.0,23375,16.5,1.8,1.8518,21264.0,32278.0,290803.3,22.4,134692,19.5,32.8,5.8,61.5,27.909,977.602856566733
Республика Мордовия,790197.0,26128,20.0,0.1,0.0,20631.0,31105.0,342811.2,22.5,127327,17.6,26.8,12.1,61.2,21.589,703.3689067409772
Республика Саха (Якутия),971996.0,3083523,16.5,5.2,1.9349999999999998,46338.0,77178.0,1168152.5,16.8,250679,17.3,44.2,5.1,50.7,30.459,1333.030177078918
Республика Северная Осетия-Алания,696837.0,7987,16.4,2.6,0.0,23927.0,30479.0,267814.4,25.0,163468,13.9,34.8,6.8,58.4,12.83,1170.5750412219786
Республика Татарстан,3902888.0,67847,16.2,0.7,2.175,35635.0,39761.0,675621.4,13.7,238322,6.6,42.0,7.3,50.7,242.409,1065.8261267041225
Республика Тыва,327383.0,168604,13.6,8.5,6.3744000000000005,18972.0,44104.0,251799.9,23.8,76921,31.7,45.0,2.6,52.4,3.39,2010.489243485459
Республика Хакасия,534262.0,61569,17.9,1.0,0.0,23837.0,43800.0,500422.8,24.1,175577,18.5,43.2,2.4,54.3,10.613,1003.2530855647605
Ростовская область,4197821.0,100967,18.2,0.8,0.8280000000000001,31427.0,35622.0,403949.1,27.8,232860,13.0,43.9,1.6,54.5,84.856,869.1413950237516
Рязанская область,1108847.0,39605,19.0,0.3,0.138,27312.0,36459.0,412845.1,22.0,196393,12.8,37.0,3.3,59.7,89.945,784.6889606952087
Самарская область,3179532.0,53565,16.9,0.8,0.71,29893.0,38748.0,505093.4,23.4,213032,12.3,36.9,9.5,53.6,113.998,880.0980773271035
Санкт-Петербург,5398064.0,1403,15.7,0.1,0.4815,49207.0,68667.0,971158.0,19.8,283494,5.9,25.7,9.8,64.6,614.49,1027.0163525293513
Саратовская область,2421895.0,101240,17.8,2.2,0.4921000000000001,24046.0,33545.0,358480.4,27.7,164665,14.8,39.0,2.5,58.5,115.284,769.7691270678539
Сахалинская область,488257.0,87101,17.2,0.6,0.0,60770.0,92518.0,2059206.5,16.5,338787,7.7,44.9,12.1,43.0,20.319,1145.0936699320237
Свердловская область,4310681.0,194307,15.8,0.9,0.7248,37374.0,43256.0,588270.0,23.5,259875,9.0,46.3,2.2,51.5,337.889,1020.5116082586486
Севастополь,449138.0,864,13.7,1.2,0.0,29957.0,36300.0,295304.9,13.3,141383,11.0,45.2,2.1,52.7,11.413,940.6908344428662
Смоленская область,934889.0,49779,19.4,2.8,0.0,28152.0,33139.0,386274.8,27.2,186156,15.6,34.7,12.0,53.3,48.091,701.0457926021164
Ставропольский край,2803573.0,66160,19.0,0.9,0.2916000000000001,23911.0,33877.0,308476.2,30.8,185994,13.8,39.2,1.9,58.9,67.759,980.4274759387397
Тамбовская область,1006748.0,34462,19.7,0.6,1.0404,27889.0,31063.0,378455.8,23.9,198282,10.8,33.5,7.6,58.9,39.947,738.3178312745594
Тверская область,1260379.0,84201,17.5,2.2,1.8876000000000004,27681.0,36077.0,391722.2,22.5,199736,11.4,31.0,3.8,65.1,59.453,799.3627313688977
Томская область,1079271.0,314391,16.9,1.9,0.6299999999999999,28857.0,48730.0,518179.5,23.5,162359,14.4,42.2,3.6,54.2,55.599,920.9920399973686
Тульская область,1466127.0,25679,16.6,0.8,0.0,29385.0,40889.0,486544.2,23.3,205652,10.1,38.8,5.3,56.0,63.206,737.4531674268327
Тюменская область без округов,1537416.0,1464173,18.1,3.3,5.5188,31151.0,51501.0,757076.0,21.9,268215,13.6,37.9,7.5,54.7,102.172,1219.7739583821165
Удмуртская Республика,1500955.0,42061,14.8,1.9,1.3152,25449.0,36380.0,451490.9,23.1,160085,11.9,49.9,2.7,47.5,128.25,969.0497050211366
Ульяновская область,1229824.0,37181,17.9,1.0,0.3036,24590.0,32504.0,360112.2,25.3,165299,15.0,38.4,3.1,58.5,99.771,841.2585865945045
Хабаровский край,1315643.0,787633,15.4,1.2,0.532,41740.0,53113.0,658239.5,25.7,277942,12.0,32.7,6.4,60.9,93.098,1044.2802492773494
Ханты-Мансийский автономный округ - Югра,1674676.0,534801,13.9,2.8,5.8128,54443.0,79822.0,1994630.3,15.8,258117,8.4,55.6,1.6,42.9,15.031,1230.3872510264673
Челябинская область,3466369.0,88529,16.0,0.8,0.525,26628.0,39349.0,467537.3,24.3,173367,12.6,40.6,6.0,53.4,244.005,959.2746761813297
Чеченская Республика,1478726.0,16171,19.2,0.6,0.5539,24596.0,29771.0,171029.5,35.1,123955,20.4,43.7,6.2,50.1,14.055,2036.2798787605007
Чувашская Республика,1217818.0,18343,14.2,1.2,1.8768000000000002,21155.0,31844.0,287210.3,24.9,141564,16.8,22.2,4.2,73.6,23.23,928.4638591316601
Чукотский автономный округ,50288.0,721481,14.1,1.9,0.0,89541.0,120641.0,2404271.2,6.4,217089,8.0,46.9,2.7,50.4,1.179,1067.8491886732422
Ямало-Ненецкий автономный округ,544444.0,769250,15.5,1.7,5.0091,89928.0,111216.0,5072483.6,12.6,263114,4.8,51.0,0.7,48.4,25.51,1302.613308255762
Ярославская область,1253389.0,36177,15.8,0.5,0.0,29514.0,37820.0,495102.2,23.5,204406,9.9,31.9,2.3,65.8,45.039,844.4305798120137
